time,SLP_N,SNO_N,TS_N,Extent_Had_Diff_N
2052-01-01,101613.44,8.022258e-06,245.49413,-4.261766402107806
2052-02-01,101831.84,7.701237e-06,245.09499,-4.401811887463996
2052-03-01,101911.836,7.3062915e-06,250.6511,-4.049289992989715
2052-04-01,101907.305,7.3073325e-06,256.11057,-2.7919843412620953
2052-05-01,101847.08,6.6344237e-06,267.1426,-1.7923241488878094
2052-06-01,101686.45,3.6666543e-06,275.6749,-2.542270808986668
2052-07-01,101039.73,3.043077e-06,277.918,-3.264682707609717
2052-08-01,100886.46,5.0484955e-06,276.51242,-2.2879471848146666
2052-09-01,101351.04,9.550304e-06,270.32355,-1.255015818888384
2052-10-01,101155.73,1.0104873e-05,261.3964,-2.137345081589146
2052-11-01,101424.08,9.236576e-06,253.30275,-3.253279493729522
2052-12-01,100995.67,9.344779e-06,248.66238,-4.2309989019447585
2053-01-01,102239.414,6.9483035e-06,245.31898,-4.219279658739806
2053-02-01,101702.086,7.079702e-06,244.85019,-4.418852434599996
2053-03-01,101102.14,7.5328735e-06,248.95863,-4.043916030581713
2053-04-01,101855.88,7.909185e-06,255.37413,-3.0171440902780926
2053-05-01,101831.38,6.8080617e-06,266.7126,-2.053867425503814
2053-06-01,101541.63,4.221605e-06,275.08737,-2.42354481455067
2053-07-01,100955.945,3.647401e-06,277.5411,-3.1036089068537134
2053-08-01,100793.87,5.12846e-06,276.35767,-1.7461942449626662
2053-09-01,101356.81,8.894167e-06,270.2873,-1.0252366480523838
2053-10-01,101280.125,1.1929207e-05,261.36697,-2.1474472664531437
